date,Carry
198312,0.01187910065461
198401,0.0342086164056214
198402,-0.0594101270874788
198403,0.00314812251094597
198404,0.0399973810247279
198405,0.009621341990796
198406,0.0223595853378763
198407,0.0430716950387288
198408,-0.00486720959110671
198409,0.0532216101433783
198410,-0.0020932023202561
198411,0.0184378278482907
198412,0.0202380238792977
198501,-0.00884916142695553
198502,-0.0539998170786562
198503,-0.0614017131453731
198504,-0.00722115109775875
198505,0.01446593843347
198506,0.0185724786428786
198507,0.0680126106347068
198508,-0.00163228139765511
198509,0.0392472845967013
198510,0.0250855036903052
198511,0.0287995855225171
198512,0.00065600866921301
198601,0.0226854966893893
198602,0.0490934238738759
198603,-0.0160794814408423
198604,0.0608502037501309
198605,-0.0554991875772334
198606,0.0358916331773192
198607,0.0171694278854024
198608,0.0117879714767469
198609,0.00403628733557256
198610,-0.0120556783635273
198611,0.0295527121568317
198612,0.0240094877132444
198701,0.0380079692728951
198702,0.0128509672336599
198703,0.0259242021038775
198704,0.0114075828656133
198705,-0.00966113349882387
198706,0.000637110449441742
198707,-0.0163386608821709
198708,0.0272383733003393
198709,-0.00519234768449448
198710,0.031640553199514
198711,0.0515784718206904
198712,-0.0381729955371903
198801,-0.0439438262935695
198802,-0.000544165890057052
198803,0.0216900808481213
198804,-0.00164368473234615
198805,-0.0111142332726879
198806,0.049309638250426
198807,-0.0122735968670023
198808,0.0194208857427875
198809,0.00390434287727541
198810,0.0458544042862077
198811,0.0309220932658728
198812,0.0224225352964324
198901,-0.0363285973271054
198902,0.00986264610085815
198903,-0.0265237860969326
198904,-0.00242193144814976
198905,-0.0475915956472658
198906,0.00543501212184451
198907,0.0403576090641774
198908,-0.0327569744614437
198909,0.0306947085242898
198910,0.00646992752491498
198911,0.0179453450832027
198912,0.0324340454091833
199001,0.00944590073016865
199002,-0.00237190118286138
199003,-0.00359084743535711
199004,0.00816227760295472
199005,0.0049182380357208
199006,0.0214775269998708
199007,0.0395025810380543
199008,0.0157476362759082
199009,-0.0045273418071929
199010,0.0215145771940616
199011,0.00395062120251207
199012,-0.00546937043607974
199101,0.018427457077243
199102,-0.01800231897637
199103,-0.0777483411538205
199104,0.0048749529737893
199105,-0.00906128516933135
199106,-0.0285186454911452
199107,0.0264201638817966
199108,0.00447190501776042
199109,0.0399272930598791
199110,-0.00140139553361737
199111,0.018238228707698
199112,0.045143647659707
199201,-0.0326402125649816
199202,-0.0119936141655057
199203,-0.00233816299104916
199204,0.00122466183888829
199205,0.0289915584127829
199206,0.0409210102905059
199207,0.0237067062915114
199208,0.0327257173688915
199209,-0.022401937242662
199210,-0.0620219155546079
199211,-0.037774173805471
199212,-0.00860425234074238
199301,-0.000540927407760449
199302,-0.00952498255797422
199303,0.0215021875047736
199304,0.0309046246650056
199305,0.00680285495176214
199306,-0.0442157460179413
199307,-0.0144185872880495
199308,0.0126029499029339
199309,0.014990403363412
199310,-0.0119610887500213
199311,-0.0161021479846645
199312,0.0047715081311244
199401,0.0158583637340481
199402,0.0120159264714456
199403,0.0125059468353902
199404,0.0102498129045034
199405,0.00703330216597727
199406,0.0265039924027213
199407,-0.00274404001391165
199408,0.00450770149322727
199409,0.0188219827071659
199410,0.0249645507846297
199411,-0.0252759229700077
199412,-0.0056124166921146
199501,0.00344196854763945
199502,0.018588654615301
199503,0.0407811920760455
199504,0.00106869157441046
199505,-0.00919821764130552
199506,0.00991962460929297
199507,0.00716317977420981
199508,-0.0381114693460213
199509,0.0195769670818933
199510,-0.00821972003404804
199511,0.017142693485836
199512,-0.00532648689430673
199601,0.0249846619941176
199602,-0.0141724402534834
199603,-0.00146275921183682
199604,0.0151444716715096
199605,-0.00181681835242319
199606,-0.00196240207604125
199607,-0.0150074193170296
199608,0.00154970825262285
199609,0.0152187675826636
199610,-0.00813467368137338
199611,0.00611790862177923
199612,0.0116663269672073
199701,0.0434400780658756
199702,0.0227528756910342
199703,-0.00665228842475417
199704,0.033118576523343
199705,-0.0127324385079373
199706,0.0130140127014105
199707,0.0422036788516308
199708,-0.00995858531595494
199709,-0.0131567687717833
199710,-0.0162799129729788
199711,0.0242131256380414
199712,0.0256594355403777
199801,0.0129846376124554
199802,-0.00587893605846916
199803,0.0237814135054645
199804,-0.0193490490914958
199805,0.00405266765273338
199806,0.0120919179228463
199807,-0.00453285169970233
199808,0.00351748918746488
199809,0.0452228011584573
199810,-0.018425170278374
199811,0.0189232329055101
199812,-0.0106895079203149
199901,-0.000191276779469525
199902,0.0275531843648247
199903,0.000244212767549314
199904,-0.000873854151817882
199905,0.0181684239586759
199906,0.00356489365247245
199907,-0.0188383204350328
199908,0.00681152623174547
199909,-0.0119541923424201
199910,0.00982686454795258
199911,0.0212915784700569
199912,-0.00418350842832455
200001,0.0284101650150785
200002,0.0171675557904075
200003,-0.00702396281923882
200004,0.0391088439343376
200005,0.0101320052705705
200006,-0.0281375695948624
200007,0.0303236388170755
200008,0.0259368037214344
200009,0.0169671955573271
200010,0.0303018983838543
200011,-0.00719371340207448
200012,-0.0488309367216734
200101,0.0107119965714097
200102,0.0201663587762398
200103,0.0435816031539137
200104,-0.0122982779287275
200105,-0.0193128702981708
200106,-0.00557698515244505
200107,0.017520613945684
200108,0.0316024770595036
200109,-0.0120754632845482
200110,-0.00291977406471287
200111,0.000732244186639077
200112,-0.00591658856834181
200201,-0.017791039534573
200202,0.00917301737949849
200203,0.0157019835694186
200204,0.0270545857677426
200205,0.0402963392133325
200206,0.0391655768088693
200207,-0.0122920797260669
200208,0.00511005495908307
200209,0.00399098516764348
200210,0.00825464164713774
200211,0.00799599349066123
200212,0.0403007670377915
200301,0.0199311891388641
200302,0.00732494208281644
200303,0.00374023434495366
200304,0.0206069986500283
200305,0.0397123822580102
200306,-0.0123229396511889
200307,-0.0179283537434851
200308,-0.00813821759368862
200309,0.0522985524429428
200310,0.012334118035808
200311,0.0269508658304502
200312,0.0355875087691075
200401,-0.00715302086880116
200402,0.0017124844199587
200403,0.00167517778587254
200404,-0.0329740315240448
200405,0.0162746268096
200406,-0.00268977889001408
200407,-0.00707827230485774
200408,0.0135754851468023
200409,0.0218526105283104
200410,0.0303560997487673
200411,0.0425393627608303
200412,0.00858359038770934
200501,-0.0303624103565515
200502,0.0180765402595316
200503,-0.0200376832006764
200504,0.00149097693539399
200505,0.0332714577116966
200506,0.0172251459975679
200507,0.0041851370636042
200508,-0.0150574759506002
200509,0.0116118589426661
200510,0.00994160836645009
200511,0.0155979688279181
200512,0.00347164360869734
200601,-0.0237944267132399
200602,0.0181003450516286
200603,0.0105626750667032
200604,-0.0454448554338549
200605,-0.0139032558515455
200606,0.0152272205201158
200607,-0.00160909800089509
200608,-0.00306697570635292
200609,0.0148545925900843
200610,-0.0104135801207788
200611,-0.0281683311817949
200612,0.00787133120879469
200701,0.0160309086030907
200702,-0.012338481068421
200703,-0.00852898767259066
200704,-0.0234184135939719
200705,0.0111763928875883
200706,-0.0111575404625357
200707,-0.0120452428794537
200708,0.0161055495801621
200709,-0.048357968464794
200710,-0.0183415622056955
200711,0.00481959479100355
200712,0.00424386311625164
200801,-0.0148182127265088
200802,0.0292874438288848
200803,0.0167228441993296
200804,-0.00901970463025881
200805,0.00240879551397433
200806,0.00270913945566773
200807,-0.01344949711869
200808,-0.0511433778306456
200809,-0.0395407640339689
200810,0.0968471646778523
200811,-0.0234256293777385
200812,0.0478783071027044
200901,-0.0512637427967086
200902,-0.023258146575645
200903,0.0468081980661032
200904,0.0208124807138849
200905,0.0693650074296786
200906,-0.00915489061400647
200907,0.0289968665902847
200908,0.0131500174852064
200909,0.025125890558593
200910,0.00789167717835188
200911,0.0143917747336804
200912,-0.0243001817513746
201001,-0.0168399849061408
201002,-0.00404593985689928
201003,0.00255515163420631
201004,-0.000830262871948031
201005,-0.0621642903056812
201006,0.0139909425876564
